File: stress_test
Build ID: 498919aff001d8366249403a2544fba2d833084f
Type: cpu
Time: 2026-09-22 01:13:11 CEST
Duration: 184.29s, Total samples = 294.71s (159.91%)
Showing nodes accounting for 190.96s, 64.80% of 294.71s total
Dropped 1742 nodes (cum <= 1.47s)
      flat  flat%   sum%        cum   cum%
     0.42s  0.14% 55.74%      2.88s  0.98%  github.com/antlr4-go/antlr/v4.(*DefaultErrorStrategy).Sync
     0.42s  0.14% 55.88%      2.89s  0.98%  runtime.sweepone
     0.40s  0.14% 56.02%     61.31s 20.80%  fdb.dev/pkg/recordlayer.(*FDBRecordStore).saveRecordInternal
     0.40s  0.14% 56.15%      2.22s  0.75%  runtime.(*mcentral).cacheSpan
     0.39s  0.13% 56.29%      2.26s  0.77%  runtime.newproc1
     0.38s  0.13% 56.41%     25.47s  8.64%  fdb.dev/pkg/fdbgo/transport.(*Conn).writeLoop
     0.37s  0.13% 56.54%     12.42s  4.21%  runtime.notesleep
     0.36s  0.12% 56.66%     11.72s  3.98%  fdb.dev/pkg/recordlayer.(*FDBRecordStore).readIndexState
     0.36s  0.12% 56.78%      4.29s  1.46%  fmt.(*pp).printArg
     0.34s  0.12% 56.90%      3.10s  1.05%  fdb.dev/pkg/fdbgo/client.(*Transaction).readVersionForOperation
     0.34s  0.12% 57.02%     25.91s  8.79%  fdb.dev/pkg/recordlayer.(*FDBRecordStore).updateSecondaryIndexesLocked
     0.34s  0.12% 57.13%      7.82s  2.65%  fdb.dev/pkg/recordlayer.(*atomicMutationIndexMaintainer).updateInsertOnly
     0.34s  0.12% 57.25%      5.52s  1.87%  github.com/antlr4-go/antlr/v4.(*BaseParser).Consume
     0.33s  0.11% 57.36%     20.77s  7.05%  fdb.dev/pkg/fdbgo/fdb.newFutureInt64.func1
     0.33s  0.11% 57.47%      2.43s  0.82%  fdb.dev/pkg/recordlayer.(*atomicMutationIndexMaintainer).updateInsertOnlyGrouped
     0.33s  0.11% 57.58%      3.86s  1.31%  github.com/antlr4-go/antlr/v4.(*BaseLexer).NextToken
     0.33s  0.11% 57.69%     44.14s 14.98%  runtime.mcall
     0.32s  0.11% 57.80%     11.61s  3.94%  fdb.dev/pkg/fdbgo/client.(*PendingGet).Resolve
     0.32s  0.11% 57.91%      3.93s  1.33%  runtime.heapSetTypeNoHeader (inline)
     0.31s  0.11% 58.02%     12.57s  4.27%  fdb.dev/pkg/recordlayer.(*mapResultCursor[go.shape.*uint8,go.shape.struct { Positional *fdb.dev/pkg/recordlayer/query/executor.PositionalRow; Record *fdb.dev/pkg/recordlayer.FDBStoredRecord[google.golang.org/protobuf/reflect/protoreflect.ProtoMessage]; PrimaryKey fdb.dev/pkg/fdbgo/fdb/tuple.Tuple }]).OnNext
     0.31s  0.11% 58.12%      4.67s  1.58%  fdb.dev/pkg/recordlayer.(*standardIndexMaintainer).Update
     0.31s  0.11% 58.23%     40.95s 13.90%  runtime.park_m
     0.30s   0.1% 58.33%      8.24s  2.80%  fdb.dev/pkg/recordlayer.(*atomicMutationIndexMaintainer).Update
     0.30s   0.1% 58.43%     27.18s  9.22%  fdb.dev/pkg/recordlayer.loadWithSplit
     0.30s   0.1% 58.53%      1.89s  0.64%  internal/reflectlite.typedmemmove
     0.29s 0.098% 58.63%      3.51s  1.19%  runtime.closechan
